DATE,Num-CDE,CLIENT_ID,SEX,BIRTH,ID_PROD,PRICE_mensuel, Durée total,CATEG
2020-12-05,725616,155250,F,1974,273991,"445,87",31,0
2020-12-04,733601,207795,M,1989,14585,"328,76",43,0
2020-12-04,742280,162450,F,1963,307815,"388,38",31,0
2020-12-04,729370,176284,M,1960,165605,"193,05",31,0
2020-12-04,725851,80033,F,1989,294139,"406,45",31,0
2020-12-04,739401,133666,F,1970,14585,"266,59",37,0
2020-12-04,725823,80033,M,1978,294139,"406,45",31,0
2020-12-04,730339,149658,M,1969,304741,"352,3",43,0
2020-12-04,732621,161789,F,1978,277491,"475,26",31,0
2020-12-04,735841,162450,F,1967,18647,"539,47",31,0
2020-12-04,736682,177295,F,1978,307717,"375,84",16,0
2020-12-04,743881,207795,M,1966,14589,"400,97",43,0
2020-12-03,718521,163072,F,1969,165567,"244,95",31,0
2020-12-03,741837,176284,M,1966,307717,"357,78",31,0
2020-12-03,736254,176284,M,1979,165609,"331,73",31,0
2020-12-01,742276,223639,F,1995,51092,"126,26",43,0
2020-12-01,731590,132948,M,1978,186837,"591,31",23,0
2020-12-01,718206,133666,F,1995,275224,"233,2",37,0
2020-12-01,741580,73757,M,1978,233675,"324,14",31,0
2020-12-01,730162,160689,F,1988,14554,"374,95",43,0
2020-12-01,725819,80033,M,1988,294546,"357,33",31,0
2020-12-01,727490,133666,M,1970,188550,"404,41",37,0
2020-12-01,722903,161789,M,1994,273825,"459,84",31,0
2020-12-05,738595,207795,M,1992,14550,"341,69",43,0
2020-11-30,760790,157111,M,1984,194692,"459,23",43,0
2020-12-05,737549,203467,F,1966,34983,"614,58",37,0
2020-12-05,730108,176284,M,1963,165605,"215,29",31,0
2020-12-13,763455,207795,M,1971,278050,"321,18",43,0
2020-12-10,730778,161361,M,1965,164679,363,31,0
2020-12-10,730921,161361,M,1965,164670,"279,3",31,0
2020-12-10,730783,161361,M,1965,164670,"261,16",31,0
2020-12-10,730780,161361,M,1965,164670,"250,56",31,0
2020-12-10,753512,151590,M,1973,126927,"424,99",31,0
2020-12-10,775559,224308,M,1990,52710,"135,92",55,0
2020-12-10,766358,145271,M,1959,194704,"272,07",43,0
2020-12-08,747092,162349,M,1967,229158,"313,97",31,0
2020-12-08,730937,161361,M,1965,164673,"293,64",31,0
2020-12-08,733349,176284,M,1994,165605,"215,29",31,0
2020-12-08,751281,151590,M,1982,84798,"321,11",31,0
2020-12-08,733883,205776,M,1965,164684,"403,15",19,0
2020-12-08,755219,149456,M,1965,163202,"436,52",31,0
2020-12-07,746058,133016,F,1987,186375,"461,45",43,0
2020-12-07,713269,207795,M,1983,14531,"274,56",31,0
2020-12-07,739677,166834,M,1990,84664,"303,75",31,0
2020-12-07,729917,152955,M,2001,191283,"290,06",37,0
2020-12-07,736668,176284,M,1966,165732,"184,03",31,0
2020-12-07,739794,176284,M,1972,165732,"274,39",31,0
2020-12-07,742470,146362,M,1985,262690,"639,68",43,0
2020-12-07,739944,133666,M,1979,276545,"317,76",37,0
2020-12-05,743439,133666,M,1980,192947,"285,04",37,0
2020-12-05,751314,73757,M,1971,233675,"491,46",22,0
2020-12-13,770270,135383,F,1982,14585,"657,48",31,0
2020-11-30,770070,201145,F,1969,14569,"794,02",19,0
2020-11-30,768041,176284,M,1968,15174,"499,46",31,0
2020-11-25,769709,160689,M,1977,293901,"535,83",43,0
2020-11-25,766224,163072,M,1989,194692,"267,37",31,0
2020-11-25,771431,207795,F,1977,278050,"319,6",43,0
2020-11-25,760930,176675,M,1976,192989,"288,51",31,0
2020-11-25,759480,176675,M,1963,192989,"300,07",31,0
2020-11-24,768003,163534,F,1989,15333,"549,9",31,0
2020-11-24,780739,176284,F,1977,15408,"350,37",31,0
2020-11-24,765496,163072,M,1986,165567,"238,92",31,0
2020-11-24,766591,176284,M,1971,194699,"327,28",31,0
2020-11-24,756911,176284,M,1969,307823,"300,1",31,0
2020-11-24,749172,206100,F,1968,14009,"105,84",34,0
2020-11-24,767145,176284,M,1973,15174,"600,15",28,0
2020-11-23,765279,176675,M,1974,192989,"281,62",31,0
2020-11-23,765278,176675,M,1974,192989,"281,62",31,0
2020-11-23,754305,177084,F,1965,194666,"313,15",31,0
2020-11-23,746779,206100,M,1974,277290,"87,08",34,0
2020-11-23,749189,206100,F,1966,277491,"88,92",34,0
2020-11-23,766155,176675,M,1989,192989,"281,62",31,0
2020-11-23,736459,186441,M,1959,164670,"1046,54",22,0
2020-11-23,766173,176675,M,1970,192989,"287,05",31,0
2020-11-23,763884,176284,M,1967,15131,"340,07",31,0
2020-11-23,752672,206100,F,1966,277491,"88,92",34,0
2020-11-23,747987,146576,M,1993,277952,492,31,0
2020-11-25,773898,161606,M,1980,86323,"255,91",43,0
2020-11-30,770641,73757,M,1975,85442,"311,21",31,0
2020-11-25,760926,176675,M,1970,192989,"293,94",31,0
2020-11-25,760923,176675,M,1966,192989,"288,51",31,0
2020-11-30,772190,151590,M,1979,85477,"393,47",31,0
2020-11-30,777328,146576,M,1972,15085,"615,79",31,0
2020-11-30,762977,163072,M,1983,165567,"416,16",25,0
2020-11-30,764135,156075,F,1982,34817,"606,23",31,0
2020-11-30,759394,154338,M,1975,276546,"332,95",31,0
2020-11-29,762935,176284,M,1967,15085,"300,99",31,0
2020-11-29,768876,73757,M,1987,230924,"316,5",31,0
2020-11-29,756847,152955,F,1985,234345,"167,67",25,0
2020-11-29,772192,151590,M,1960,85506,"324,24",37,0
2020-11-29,778101,149456,M,1965,232736,"694,44",31,0
2020-11-29,776799,176284,M,1970,15114,"531,1",31,0
2020-11-29,766696,176284,M,1969,15170,"404,9",31,0
2020-11-29,755678,137352,M,1962,191287,"371,72",43,0
2020-11-27,764022,176284,M,1959,15131,"327,09",31,0
2020-11-26,763861,156075,M,1961,33832,"595,59",43,0
2020-11-26,771858,175333,M,1972,15114,"530,63",31,0
2020-11-26,753147,203910,F,1991,34328,"476,31",25,0
2020-11-26,752891,145271,M,1964,194667,"293,32",43,0
2020-11-26,764337,207795,F,1987,12800,"317,26",43,0
2020-11-26,756550,135383,F,1993,96655,"659,33",31,0
2020-11-26,762764,150813,M,1966,194699,"344,89",55,0
2020-11-25,760928,176675,M,1970,192989,"293,94",31,0
2020-11-25,760929,176675,M,1968,192989,"288,51",31,0
2020-11-25,752690,206100,F,1968,294519,"107,07",34,0
2020-12-14,770365,175333,F,1974,14577,"267,08",31,0
2020-12-14,768114,207795,M,1978,14858,"463,73",43,0
2020-12-14,764402,163072,M,1956,194692,"385,65",31,0
2020-12-31,776850,162349,M,1970,195180,"281,09",43,0
2020-12-31,774792,176669,F,1965,307792,"532,4",31,0
2020-12-31,750903,133666,M,1997,277489,"333,54",37,0
2020-12-31,775188,152955,M,1965,235759,"161,9",43,0
2020-12-31,770410,207795,F,1970,12900,"395,81",43,0
2020-12-30,764343,207795,M,1978,276545,"269,79",43,0
2020-12-30,774187,151590,M,1969,127697,"407,82",31,0
2020-12-30,775742,146576,M,1983,135133,"641,44",31,0
2020-12-30,770708,224171,M,1974,304921,"250,85",43,0
2020-12-30,776677,162349,M,1964,196526,"324,4",43,0
2020-12-30,775393,176284,M,1963,195115,"221,52",31,0
2020-12-30,774697,176284,M,1971,167787,"281,13",31,0
2020-12-29,776717,162349,M,1986,195154,"239,25",43,0
2020-12-29,773043,144899,M,1969,84764,"548,23",31,0
2020-12-29,776847,162349,M,1983,195180,"299,11",43,0
2020-12-29,776603,162349,M,1971,196534,"428,28",43,0
2020-12-29,777361,162349,M,1968,196519,"310,81",43,0
2020-12-28,775620,168832,M,1965,304832,"671,69",43,0
2020-12-28,764274,161606,M,1965,261041,"390,08",43,0
2020-12-28,765119,163534,F,1966,14577,"404,25",55,0
2020-12-28,773877,161606,M,1965,86323,"231,53",43,0
2020-12-27,777186,162349,M,1983,196526,"316,67",43,0
2020-12-27,757171,177084,M,1965,194673,"326,03",31,0
2020-12-31,774661,207795,F,1991,277939,"297,3",43,0
2020-12-25,764346,207795,M,1970,15197,"585,39",43,0
2020-12-31,772874,156075,F,1974,167203,"474,81",31,0
2020-12-31,773683,163072,M,1961,194670,"327,71",31,0
2021-01-07,794301,73757,M,1974,127258,"405,04",25,0
2021-01-07,802806,176284,M,1974,15131,"367,16",31,0
2021-01-07,801876,156969,M,1965,167203,"526,78",33,0
2021-01-04,786929,162349,M,1972,196566,"274,22",43,0
2021-01-04,780389,176284,F,1974,195115,"264,29",31,0
2021-01-04,785996,162349,M,1969,196519,"320,35",43,0
2021-01-04,785764,162349,M,1980,196520,"289,87",43,0
2021-01-04,780400,176284,F,1969,195115,"264,29",31,0
2021-01-03,771860,176669,F,1962,14553,"263,54",31,0
2021-01-03,775426,176284,M,1974,195115,"259,11",31,0
2021-01-03,772112,156075,M,1985,312312,"811,59",31,0
2021-01-03,785723,224447,M,1970,196559,"438,17",55,0
2021-01-03,784818,162349,M,1986,196520,"291,7",43,0
2021-01-02,778000,141289,M,1971,275289,"514,65",43,0
2021-01-02,754190,155250,F,1978,277282,"408,58",31,0
2021-01-02,763431,207795,M,1968,278046,"421,48",43,0
2021-01-02,777206,150813,M,1976,196557,"441,5",46,0
2021-01-02,772579,203910,M,1974,194670,"277,28",40,0
2021-01-02,787090,182633,M,1971,234398,"485,53",25,0
2021-01-02,766509,176284,M,1972,194699,"458,32",28,0
2021-01-01,767117,176675,M,1959,192989,"259,36",31,0
2020-12-31,776489,176284,F,1965,195115,"275,55",31,0
2020-12-31,764273,161606,F,1965,261041,"649,92",25,0
2020-12-31,770214,146576,M,1982,277952,492,31,0
2020-12-24,774920,176284,F,1969,167787,"210,44",31,0
2020-12-24,767806,207795,M,1978,277795,"236,19",43,0
2020-12-24,771245,207795,F,1973,278050,"319,6",43,0
2020-12-20,752334,133666,M,1971,196563,"339,94",37,0
2020-12-20,767809,207795,M,1982,277795,"238,28",43,0
2020-12-20,773920,130805,F,1993,196565,"490,25",31,0
2020-12-20,764000,133016,M,1970,34840,"594,77",43,0
2020-12-20,764689,130805,M,1972,194824,"463,23",31,0
2020-12-20,774701,176284,F,1971,167787,"281,13",31,0
2020-12-17,766964,160689,F,1981,275271,"420,38",43,0
2020-12-17,773855,161606,F,1965,85118,"354,21",43,0
2020-12-17,765106,163534,M,1979,14577,"466,21",55,0
2020-12-17,773995,161606,M,1965,260986,"230,44",43,0
2020-12-17,755837,176284,M,1956,194692,"323,55",31,0
2020-12-17,763817,207795,M,1967,276591,"349,26",43,0
2020-12-16,775743,146576,M,1979,277491,"493,64",31,0
2020-12-16,763326,203910,M,1986,194841,"466,86",25,0
2020-12-16,764425,163072,F,1988,194692,"420,64",25,0
2020-12-15,757970,176284,M,1968,15085,"353,83",31,0
2020-12-15,751450,151590,M,1979,84798,"323,12",31,0
2020-12-15,767047,176284,M,1980,15174,"427,74",31,0
2020-12-15,767097,203910,M,1964,194692,"403,43",28,0
2020-12-14,753120,155250,M,1965,194692,"406,11",31,0
2020-12-14,763723,156075,M,1967,96660,"419,95",43,0
2020-12-14,766698,176284,M,1981,14197,"337,1",31,0
2020-12-14,762077,160689,M,1993,126927,"482,22",28,0
2020-12-20,772054,207795,M,1994,278040,"389,57",43,0
2020-12-20,767154,176284,M,1975,307823,"276,14",31,0
2020-12-21,768813,207795,M,1971,14820,"459,68",43,0
2020-12-21,774400,176284,M,1966,307815,"235,21",31,0
